日期,Anticipation,Disgust,Neutral,Others,Sadness,Trust,First case,Begin lockdowns,Measures launched,Zero case growth,Work resumed,Victory declared
2022/2/23,0.16543,0.21358,0.2642,0.09136,0.18395,0.08148,0,0,0,0,0,0
2022/2/24,0.14424,0.19483,0.29817,0.0958,0.18407,0.08288,0,0,0,0,0,0
2022/2/25,0.13368,0.14715,0.40933,0.06528,0.14611,0.09845,0,0,0,0,0,0
2022/2/26,0.12112,0.21118,0.26553,0.1118,0.20497,0.0854,0,0,0,0,0,0
2022/2/27,0.12844,0.20734,0.35963,0.08073,0.16147,0.06239,0,0,0,0,0,0
2022/2/28,0.15987,0.16428,0.31753,0.07497,0.15325,0.1301,0,0,0,0,0,0
2022/3/1,0.06481,0.26852,0.07407,0.13272,0.44753,0.01235,1,0,0,0,0,0
2022/3/2,0.08889,0.26667,0.13611,0.11528,0.36389,0.02917,1,0,0,0,0,0
2022/3/3,0.08988,0.24258,0.11082,0.16056,0.37347,0.02269,1,0,0,0,0,0
2022/3/4,0.08023,0.24198,0.06098,0.13607,0.45186,0.02888,1,0,0,0,0,0
2022/3/5,0.06839,0.2829,0.07876,0.17202,0.37927,0.01865,1,0,0,0,0,0
2022/3/6,0.062,0.342,0.132,0.141,0.281,0.042,0,0,0,0,0,0
2022/3/7,0.091,0.299,0.207,0.121,0.22,0.062,0,0,0,0,0,0
2022/3/8,0.069,0.285,0.173,0.161,0.245,0.067,0,0,0,0,0,0
2022/3/9,0.07,0.289,0.195,0.163,0.228,0.055,0,0,0,0,0,0
2022/3/10,0.0706,0.3804,0.0316,0.1736,0.3246,0.0192,0,0,0,0,0,0
2022/3/11,0.095,0.297,0.174,0.14,0.25,0.044,0,0,0,0,0,0
2022/3/12,0.109,0.262,0.198,0.113,0.248,0.07,0,0,0,0,0,0
2022/3/13,0.082,0.416,0.112,0.146,0.2,0.044,0,0,0,0,0,0
2022/3/14,0.0927,0.39588,0.04792,0.13972,0.28751,0.03627,0,0,0,0,0,0
2022/3/15,0.0889,0.36032,0.07553,0.14637,0.2931,0.03578,0,0,0,0,0,0
2022/3/16,0.113,0.246,0.224,0.103,0.221,0.093,0,0,0,0,0,0
2022/3/17,0.135,0.217,0.256,0.118,0.167,0.107,0,0,0,0,0,0
2022/3/18,0.152,0.254,0.2,0.1,0.181,0.113,0,0,0,0,0,0
2022/3/19,0.06059,0.45415,0.03821,0.17413,0.24236,0.03057,0,0,0,0,0,0
2022/3/20,0.11301,0.4012,0.04609,0.12816,0.27273,0.03883,0,0,0,0,0,0
