序号,标题/微博内容,情感分析1,情感分析2,原文/评论链接,来源网站,日期,媒体类型,原文作者,信息属性,摘要,信源地域,精准地域,信源级别,行业标签,相似文章数,原创/转发,账号类型,涉及词,评论作者,转发数,评论数,点赞数,粉丝数,阅读数,主页链接,收藏数,
4258,讲几个发生在我身边的上海疫情笑话：女生开水烫伤，打了120，由于回程没有车，物业用小推车徒步到凌晨四点把女生送回家。日本友人推行李步行八小时到浦东机场逃难回国。因为小区增加一个阳性，就直接暂停所有物资配送以防万一，已购买的团购全部强制退款处理。投诉到信访办每天没有物资，信访办回答大家也是这样过来的，过去已经过去了。跑腿小哥在路边搭帐篷露营求生，早晚核酸，谋求暴利朋友公司安保员工终于感染阳性，开心进方舱白吃白喝还拍视频庆祝。居委主任在居委办公室睡纸板箱一个半月，被全小区骂无能之辈，不会管理。法国人请求使馆力量把妻儿送到机场，机场临时取消所有航班，妻儿被困机场。其他网上那些打狗，抢走孩子的，咱就不说了。听听身边的笑话就够了。,厌恶,厌恶,无,http://weibo.com/1973522033/LqHo9y3DZ,新浪微博,2022/4/29 16:48,微博-微博个人号,紋一鹿,敏感,讲几个发生在我身边的上海疫情笑话：女生开水烫伤，打了120，由于回程没有车，物业用小推车徒步到凌晨四点把女生送回家。日本友人推行李步行八小时到浦东机场逃难回国。因为小区增加一个阳性，就直接暂停所有物资配送以防万一，已购买的团购全部强制退款处理。投诉到信访办每天没有物资，信访办回答大家也是这样过来的，,上海,"上海市,浦东新区",未定义,其他,1,原创,普通,,无,0,0,0,1213,0,无,0
3808,5月18日0时至24时，北京新增50例本土确诊病例（含2例无症状感染者转确诊病例）和5例无症状感染者，无新增疑似病例；上海新增本土新冠肺炎确诊病例82例和无症状感染者637例，新增本土死亡1例。 ​​,悲伤,悲伤,无,http://weibo.com/2687609403/LtGtfnwyz,新浪微博,2022/5/19 7:59,微博-微博个人号,叶寒2012,敏感,5月18日0时至24时，北京新增50例本土确诊病例（含2例无症状感染者转确诊病例）和5例无症状感染者，无新增疑似病例；上海新增本土新冠肺炎确诊病例82例和无症状感染者637例，新增本土死亡1例。 ​​,天津,"北京市,上海市",未定义,医疗,2,原创,普通,,无,0,0,0,1028,0,无,0
1313,疫情爆发，封闭隔离，抢购物资，这些标签下的上海格外让人揪心，屡屡冲上热搜榜。备受人们关注的除了每天新增确诊的惊人数字，还有频频爆出的负面消息。因为管理和防控措施的不力，几乎每一条与上海疫情有关的话题下都是一片骂声。上海东方医院护士去世；浦东一哮喘老人因120拒绝救援而病亡；网传婴幼儿被单独隔离；上海市虹口区卫健委信息中心主任在办公室自缢身亡……每每看到这样的新闻就让身处上海封控区的小编止不住地焦虑和失望。但实际上除了这些值得被骂上热搜的事件，上海人民之所以还能苦中作乐地想段子、日常生活还得以正常运转是因为在疫情这座大山背后还有很多很多普通人在付出自己的努力和善心。那些冲在一线，负重前行的志愿者，那些忙得脚不沾地的居委，那些日日夜夜坚守在岗的工作人员......每个普通人都在用自己的方式暖心接力。正是因为有他们的帮助和关怀，被隔离的人们才不会觉得自己是一座孤岛，上海这个巨大的城市才能彰显出一丝温度。01.在便利店坚守23天的女店长最近朋友圈都在转发这样一篇文章《我一个人，在便利店住了23天》。故事的主人公李娜，是上海闵行一家罗森便利店的店长，她从3月9号到3月31号，在没有床，没有淋浴的店里，整整呆了23天。由于疫情的关系，罗森便利店周边的小区都陆续封闭了，很多人被隔离在了家里，需要从网上购物。为了便利店能够正常运转，保障附近居民的物资供应，李娜选择了住在店里，24小时营业，以随时响应居民的需求。便利店没有床铺，也没有淋浴，她只能睡在纸皮打的地铺上。李娜说：“这20多天，我遇到的绝大多数都是暖心的事。”“我很幸运，身边每一个人都那么善良。”她不知道，是她的善良，激发了善良。正是有着无数个像李娜这样的英雄，才让上海每一个被封控的小区，不再是孤岛。02.快递员自掏腰包给人买物资疫情期间，不少小区封闭管理，很多居民都会尝试各种“社区团购”，团购需要送货，因此快递小哥就显得十分重要，面对这样僧多粥少的局面，快递小哥也变得十分忙碌。前几天#快递员自掏7万元给人买物资#一事冲上了微博热搜。“95后”快递员杨耀森，是顺丰速运世纪经营分部的负责人，也是街道防控办小组成员，疫情开始后，杨耀森开始给有需要的人配送物资。在这20多天里面，一直给周围的人采购物资，甚至还帮助老人买药，而且购买物资的费用都是自掏腰包，别人给的钱，他分文不取。杨耀森无私的做法也是感动了许多人，甚至有老人亲自给他送,信任,信任,无,http://weibo.com/7762219311/LwklAk75D,新浪微博,2022/6/5 17:10,微博-微博个人号,用户7762219311,敏感,疫情爆发，封闭隔离，抢购物资，这些标签下的上海格外让人揪心，屡屡冲上热搜榜。备受人们关注的除了每天新增确诊的惊人数字，还有频频爆出的负面消息。因为管理和防控措施的不力，几乎每一条与上海疫情有关的话题下都是一片骂声。上海东方医院护士去世；浦东一哮喘老人因120拒绝救援而病亡；网传婴幼儿被单独隔离；上海,吉林,"上海市,闵行区,虹桥镇",未定义,其他,76,原创,普通,,无,0,0,0,0,0,无,0
2006,给上海一个月的时间 速速结束疫情 ​​,期待,期待,无,http://weibo.com/6467873404/Lj70XkLpU,新浪微博,2022/3/10 19:20,微博-微博个人号,不被定义的碳水,敏感,给上海一个月的时间 速速结束疫情 ​​,安徽,上海市,未定义,其他,1,原创,普通,,无,0,0,0,49,0,无,0
1847,#上海疫情# 气到睡不着，提问：为什么已经15天没�了还要每天做核酸还不让出门？[苦涩] ​​,悲伤,悲伤,无,http://weibo.com/1796877977/LtNKU2YMN,新浪微博,2022/5/20 2:32,微博-微博个人号,-夏玻利利-,敏感,#上海疫情# 气到睡不着，提问：为什么已经15天没�了还要每天做核酸还不让出门？[苦涩] ​​,上海,上海市,未定义,其他,1,原创,普通,,无,0,0,0,705,0,无,0
3351,#上海疫情# 大病初愈，滨江空间，人头攒动，交流撒欢，上海如常；严防反弹，不能松懈 ；一场#太阳雨#洗去3个月的尘埃；#新基建# 下半年将强势回归…#国常会部署稳经济一揽子措施# http://t.cn/A6XQiXdG ​​,期待,期待,无,http://weibo.com/1969930643/LwaaD2Zlq,新浪微博,2022/6/4 15:16,微博-微博个人号,Jack-张临辉,非敏感,#上海疫情# 大病初愈，滨江空间，人头攒动，交流撒欢，上海如常；严防反弹，不能松懈 ；一场#太阳雨#洗去3个月的尘埃；#新基建# 下半年将强势回归…#国常会部署稳经济一揽子措施# http://t.cn/A6XQiXdG ​​ Jack-张临辉的微博视频,上海,上海市,未定义,其他,1,原创,普通,,无,0,0,0,179,0,无,0
4367,#上海因疫情影响未及时还款不作逾期#我想知道这个金融机构是不是不包括美团借钱生意贷，我说受上海疫情影响，想延期还款半个月，最迟半个月我拿到工资，一定还上！他们客服说没有这个政策！该怎么样就怎么样！今天已经逾期一天了，电话和多条短信已经催上了！ ​​,悲伤,恐惧,无,http://weibo.com/7283604215/LsdrhlVXD,新浪微博,2022/5/9 16:14,微博-微博个人号,期待更好97,敏感,#上海因疫情影响未及时还款不作逾期#我想知道这个金融机构是不是不包括美团借钱生意贷，我说受上海疫情影响，想延期还款半个月，最迟半个月我拿到工资，一定还上！他们客服说没有这个政策！该怎么样就怎么样！今天已经逾期一天了，电话和多条短信已经催上了！ ​​,江苏,上海市,未定义,政务,1,原创,普通,,无,0,0,0,4,0,无,0
3429,#上海疫情##上海市新冠肺炎疫情防控新闻发布会##上海十院# 上海 十院急诊楼什么时候解封？已经闭环一周  隔离闭环是每个人的责任 可是时间拖这么久 病人的生命保障在哪里？？ ​​,愤怒,愤怒,无,http://weibo.com/5242567669/Lj5HHafPh,新浪微博,2022/3/10 16:00,微博-微博个人号,眼泪拌饭星星,敏感,#上海疫情##上海市新冠肺炎疫情防控新闻发布会##上海十院# 上海 十院急诊楼什么时候解封？已经闭环一周 隔离闭环是每个人的责任 可是时间拖这么久 病人的生命保障在哪里？？ ​​,上海,上海市,未定义,其他,2,原创,普通,,无,0,0,0,61,0,无,0
4713,[怒骂][怒骂][怒骂]起来做抗原了[怒骂][怒骂][怒骂]#上海疫情# ​​,愤怒,愤怒,无,http://weibo.com/1781457221/Lxk1ruXRm,新浪微博,2022/6/12 6:11,微博-微博个人号,夏杪zzZ,非敏感,[怒骂][怒骂][怒骂]起来做抗原了[怒骂][怒骂][怒骂]#上海疫情# ​​,上海,上海市,未定义,其他,1,原创,达人,,无,0,0,0,582,0,无,0
3069,迪士尼CEO称:就算没有中国市场也能成功当断则断，不受其乱；当断不断，必受其乱。很多国内自由派市场派有一个意识形态幻觉，那就是资本逐利，国外大资本为了中国的市场会千方百计维持稳定的国际形势，在中外对抗的时候，以中国市场为要挟，只要我们输送利益对方的大企业不说站在我们这边，至少能保持个中立。中国14亿人口的市场是很大，没有任何一个企业愿意自动放弃但如果是让企业在中国14亿人口的市场 与 美国主导的西方十几亿人市场选择那些国外企业会毫不犹豫的选择美国人你必须要清楚一件事情，迪士尼电影是在没有中国市场的情况下成长起来的，就算中国不改革开放，就算迪士尼不进入中国市场，迪士尼也很成功，也很赚钱。中国的钱能赚最好，谁跟钱有仇；但如果赚中国的钱风险太大，不赚也行。就跟美国禁了华为，我们认为华为依靠中国的市场也能发展壮大一个道理。在懂王的助攻下，经济全球化这个意识形态幻觉开始破灭了，所谓经济全球化本来就是一场梦。我们应当做好大多数国外公司撤离的准备只要我们还搞社会主义、只要我们还要解放台湾、只要我们还要建成现代化强国中国和美国的翻脸，只是时间问题。像这次上海疫情，有外企转移到东南亚，你不要拦，他们能够慢慢的有序撤离才是最好的，如果等到撕破脸前一两年集中走，才更麻烦。我们要想的是他们走了之后怎么办？他们是一定要走的，就看我们怎么应对。有些人会极度悲观，觉得天塌了，给美国各种示好让利，以其挽留国外资本。为什么呢？因为国外资本撤离真的会让很多人不好受，比如你们可以看看我写的一个上海迪士尼的回答，去年写的，这两天不知道怎么回事又活了，你看看迪士尼搞的那一套东西，美国资本家看了都要流泪。这中间，上海有多少人在靠着迪士尼赚大钱？如何看待女孩因为迪士尼游客太多，排队一整天只玩了三个项目打骂男友？4.4 万赞同 · 5241 评论回答如果中国像俄罗斯那样掀桌子，中国的带路党只会比俄罗斯多。放弃经济全球化的幻觉吧，普京苟了二十年，不仅没融进去西方社会，还被拜登骂战争犯，你可以一时的苟，但不可能靠苟且一直活下去。本来我们引进外资就是临时举措，就是让外资进来帮助我们渡过暂时的困难，搞建设还是要靠自己的企业。现在整的，民企里一堆像联想这样的国外代理人，国企里一堆像各个车企一样的买办。华为本来应该是我们允许发展民营企业里设想的最低标准，结果成了民营企业的天花板。不要怪我念经，事实证明中国的资产阶级是救不了中,悲伤,悲伤,无,http://weibo.com/1788935762/Lt0OF41S1,新浪微博,2022/5/14 21:56,微博-微博橙V号,大资产管理,中性,迪士尼CEO称:就算没有中国市场也能成功当断则断，不受其乱；当断不断，必受其乱。很多国内自由派市场派有一个意识形态幻觉，那就是资本逐利，国外大资本为了中国的市场会千方百计维持稳定的国际形势，在中外对抗的时候，以中国市场为要挟，只要我们输送利益对方的大企业不说站在我们这边，至少能保持个中立。中国14亿,广东,上海市,中小,其他,2,原创,橙V,,无,0,0,0,130971,0,无,0
